word,definition
Define the word: amphibology,ambiguity in language; dual grammatical meaning
Define the word: amphigean,occurring in both hemispheres of the brain or body
Define the word: amphigory,a nonsense verse
Define the word: amphimixis,interbreeding; intermixing of two individuals' genetic matter
Define the word: amphipneust,animal with both lungs and gills
Define the word: amphisbaena,mythical two-headed serpent or lizard
Define the word: amphiscian,of like or pertaining to torrid regions
Define the word: amphiuma,aquatic American salamander with two pairs of small feet
Define the word: amphoriloquy,cavernous voice of a patient heard over a patient's lung cavity
Define the word: amplect,to embrace
Define the word: amplexus,rutting of frogs and toads
Define the word: ampliative,supplemental; additional
Define the word: amplivagant,stretching far; having a great scope
Define the word: ampulla,vessel for holy oil or wine for coronations or rituals
Define the word: amrita,Hindu ambrosia bestowing immortality
Define the word: amygdaloid,almond-shaped; of like or pertaining to tonsils
Define the word: amyloid,containing or pertaining to starch; starchy
Define the word: amyous,lacking muscle
Define the word: an,if
Define the word: ana,in equal quantities
Define the word: anabasis,journey leading upwards; first phase of an illness
Define the word: anabiosis,return to life after apparent death
Define the word: anacampserote,something which can bring back a lost love
Define the word: anacamptic,reflecting or reflected light; sound or water
Define the word: anacardic,of like or pertaining to cashews
Define the word: anacathartic,causing vomiting or expectoration
Define the word: anachoric,foreign or geographically absurd relating to a country
Define the word: anaclastic,refractive; of like or pertaining to refraction
Define the word: anaclitic,dependent on other phenomenon or ability
Define the word: anacoenosis,rhetorical questioning of hearers or opponents for opinions on a matter
Define the word: anacoluthon,moving to new topic of discussion before finishing current one
Define the word: anacrisis,interrogation accompanied by torture
Define the word: anacrusis,syllable prior to the normal rhythm of a verse
Define the word: anacusic,completely deaf
Define the word: anadem,wreath fillet or band
Define the word: anadiplosis,repeating last word of clause at beginning of next clause
Define the word: anadromous,fish which ascend rivers to spawn
Define the word: anaerectic,destructive
Define the word: anaesthesiology,study of anaesthetics
Define the word: anagalactic,coming from or existing beyond our own galaxy
Define the word: anaglyph,ornament in low relief
Define the word: anaglyptics,art of carving in bas-relief
Define the word: anaglyptography,art of engraving so as to give the subject an embossed appearance
Define the word: anagnorisis,recognition leading to denouement of a play
Define the word: anagogy,mystical interpretation
Define the word: anagraphy,art of constructing catalogues
Define the word: analects,crumbs that fall from the table
Define the word: analemma,sundial
Define the word: analepsis,repetition of a word or phrase for emphasis; pleonasm
Define the word: analgia,inability to feel pain
Define the word: anamnesis,reminiscence; prayer recalling death and resurrection of Jesus
Define the word: anamorphic,changing to a more complex form
Define the word: anandrious,impotent
Define the word: ananym,name written backward; often used as synonym
Define the word: anapeiratic,caused by excessive use
Define the word: anapest,two short metrical syllables followed by one long one
Define the word: anaphalantiasis,falling out of the eyebrows
Define the word: anaphia,loss of sense of touch
Define the word: anaphora,repetition of a word at beginning of successive phrases for emphasis
Define the word: anapnea,recovery of one's breath; restoration of breath
Define the word: anastasic,convalescent
Define the word: anastrophe,reversing or inverting word order as rhetorical device
Define the word: anatine,of like or pertaining to ducks
Define the word: anatocism,compound interest
Define the word: anatreptic,overcoming; overturning
Define the word: anaudia,loss of voice
Define the word: anaunter,on the chance; lest
Define the word: anbury,soft fleshy tumour in horses
Define the word: anchorite,one withdrawn from the world for religious reasons
Define the word: ancillary,auxiliary; secondary
Define the word: ancipitous,two-edged and flattened
Define the word: ancistroid,hook-shaped
Define the word: ancon,elbow
Define the word: anconoid,of like or pertaining to the elbow
Define the word: ancoral,of shaped like or resembling an anchor
Define the word: ancress,female religious recluse
Define the word: andiron,iron bar used to support the end of a log in a fire
Define the word: andragogy,science of teaching adults
Define the word: androcracy,government by men
Define the word: androlepsia,governmental kidnapping for political purposes
Define the word: andromania,nymphomania
Define the word: androphagy,cannibalism
Define the word: aneabil,single; unmarried
Define the word: anear,nearly; almost
Define the word: anele,to administer extreme unction to
Define the word: anemocracy,government by the wind or by whim
Define the word: anemograph,instrument for measuring pressure and velocity of wind
Define the word: anemography,treatise on the winds
Define the word: anemology,study of winds
Define the word: anemometer,instrument for measuring wind velocity
Define the word: anemophilous,pollinated by wind
Define the word: anencephalic,lacking a brain
Define the word: anent,about; concerning
Define the word: anergia,failure of immune system; loss of energy
Define the word: anesis,tuning to a lower musical pitch
Define the word: aneuria,lack of nervous energy
Define the word: anfractuous,full of windings and intricate turnings
Define the word: angary,the right of a belligerent to seize neutral property
Define the word: angelocracy,government by angels
Define the word: angelolatry,worship of or belief in angels
